Date,Number of Contacts,Source,Year,Month
01/10/2018,60,Inbox email enquiries,2018,October
01/11/2016,247,Melbourne Greeter Service,2016,November
01/06/2016,135,Inbox email enquiries,2016,June
01/04/2016,1523,Cruise Ship Program,2016,April
01/02/2016,27326,Melbourne Visitor Booth,2016,February
01/05/2016,116,Inbox email enquiries,2016,May
01/07/2015,0,Cruise Ship Program,2015,July
01/01/2016,304,Melbourne Greeter Service,2016,January
01/07/2018,75,Inbox email enquiries,2018,July
01/02/2018,102,Inbox email enquiries,2018,February
01/01/2017,250,Melbourne Greeter Service,2017,January
01/06/2016,167,Melbourne Greeter Service,2016,June
01/08/2015,190,Inbox email Inquiries,2015,August
01/11/2016,23544,Melbourne Visitor Booth,2016,November
01/04/2016,20430,Fitzroy Gardens Visitor Centre,2016,April
01/01/2016,33680,Melbourne Visitor Booth,2016,January
01/09/2017,17980,Melbourne Visitor Booth,2017,September
01/12/2014,6683,Cruise Ship Program,2014,December
01/02/2018,263,Melbourne Greeter Service,2018,February
01/08/2016,2454,Melbourne Visitor Shuttle,2016,August
01/06/2017,123,Inbox email enquiries,2017,June
01/05/2018,14352,Melbourne Visitor Booth,2018,May
01/08/2015,25900,Melbourne Visitor Booth,2015,August
01/04/2016,113,Inbox email enquiries,2016,April
01/05/2018,0,Cruise Ship Program,2018,May
01/03/2015,6734,Cooks' Cottage,2015,March
01/03/2015,13740,Cruise Ship Program,2015,March
01/04/2017,24368,Melbourne Visitor Booth,2017,April
01/03/2015,84045,Melbourne Visitor Centre,2015,March
01/06/2015,162,Inbox email Inquiries,2015,June
01/12/2017,76563,Melbourne Visitor Centre,2017,December
01/03/2018,18927,Melbourne Visitor Booth,2018,March
01/05/2017,43464,Melbourne Visitor Centre,2017,May
01/07/2017,22791,Melbourne Visitor Booth,2017,July
01/02/2017,23305,City Ambassador Program,2017,February
01/10/2014,2353,Cruise Ship Program,2014,October
01/03/2018,18927,City Ambassador Program,2018,March
01/11/2014,6850,Melbourne Visitor Shuttle,2014,November
01/09/2014,186,Melbourne Greeter Service,2014,September
01/08/2016,21572,Melbourne Visitor Booth,2016,August
01/11/2017,13564,Cruise Ship Program,2017,November
01/03/2015,175,Inbox email Inquiries,2015,March
01/03/2017,139,Inbox email enquiries,2017,March
01/12/2014,11071,Cooks' Cottage,2014,December
01/08/2016,218,Melbourne Greeter Service,2016,August
01/10/2016,129,Inbox email enquiries,2016,October
01/08/2014,0,Cruise Ship Program,2014,August
01/06/2016,4566,Cooks' Cottage,2016,June
01/07/2016,8309,Cooks' Cottage,2016,July
01/08/2015,0,Cruise Ship Program,2015,August
01/07/2016,2738,Melbourne Visitor Shuttle,2016,July
01/09/2016,5552,Cooks' Cottage,2016,September
01/08/2016,48062,Melbourne Visitor Centre,2016,August
01/01/2016,34081,City Ambassador Program,2016,January
01/02/2016,132,Inbox email enquiries,2016,February
01/12/2016,86,Inbox email enquiries,2016,December
01/07/2017,97,Inbox email enquiries,2017,July
01/11/2016,121,Inbox email enquiries,2016,November
01/11/2017,21253,Melbourne Visitor Booth,2017,November
01/05/2017,20531,City Ambassador Program,2017,May
01/09/2015,0,Cruise Ship Program,2015,September
01/10/2018,3284,Cruise Ship Program,2018,October
01/01/2015,8751,Cruise Ship Program,2015,January
01/03/2017,23879,Melbourne Visitor Booth,2017,March
01/03/2017,5996,Cooks' Cottage,2017,March
01/09/2017,18917,Fitzroy Gardens Visitor Centre,2017,September
01/11/2015,169,Inbox email Inquiries,2015,November
01/07/2014,127,Inbox email Inquiries,2014,July
01/06/2018,80,Inbox email enquiries,2018,June
01/05/2017,180,Melbourne Greeter Service,2017,May
01/05/2015,4500,Cooks' Cottage,2015,May
01/11/2015,4012,Melbourne Visitor Shuttle,2015,November
01/05/2015,14533,Fitzroy Gardens Visitor Centre,2015,May
01/01/2015,30277,City Ambassador Program,2015,January
01/04/2018,56613,Melbourne Visitor Centre,2018,April
01/05/2016,957,Cruise Ship Program,2016,May
01/09/2014,0,Cruise Ship Program,2014,September
01/03/2017,26825,City Ambassador Program,2017,March
01/04/2015,149,Inbox email Inquiries,2015,April
01/02/2015,23416,Fitzroy Gardens Visitor Centre,2015,February
01/11/2015,6329,Cooks' Cottage,2015,November
01/04/2015,22303,Fitzroy Gardens Visitor Centre,2015,April
01/05/2015,5092,Melbourne Visitor Shuttle,2015,May
01/09/2014,0,Fitzroy Gardens Visitor Centre,2014,September
01/12/2015,85424,Melbourne Visitor Centre,2015,December
01/01/2018,22288,Fitzroy Gardens Visitor Centre,2018,January
01/10/2017,118,Inbox email enquiries,2017,October
01/08/2018,28327,Melbourne Visitor Centre,2018,August
01/05/2016,22320,Melbourne Visitor Booth,2016,May
01/10/2017,6515,Cooks' Cottage,2017,October
01/04/2018,19106,City Ambassador Program,2018,April
01/12/2016,31022,Melbourne Visitor Booth,2016,December
01/04/2017,61423,Melbourne Visitor Centre,2017,April
01/02/2016,310,Melbourne Greeter Service,2016,February
01/01/2018,22497,City Ambassador Program,2018,January
01/01/2018,117,Inbox email enquiries,2018,January
01/10/2014,222,Melbourne Greeter Service,2014,October
01/12/2017,21127,Fitzroy Gardens Visitor Centre,2017,December
01/03/2018,19658,Fitzroy Gardens Visitor Centre,2018,March
01/02/2016,6116,Melbourne Visitor Shuttle,2016,February
01/10/2014,7082,Cooks' Cottage,2014,October
01/04/2018,5364,Cooks' Cottage,2018,April
01/06/2016,42100,Melbourne Visitor Centre,2016,June
01/11/2014,14093,Cruise Ship Program,2014,November
01/05/2016,20248,City Ambassador Program,2016,May
01/12/2015,126,Inbox email Inquiries,2015,December
01/04/2015,27989,City Ambassador Program,2015,April
01/10/2015,5885,Cooks' Cottage,2015,October
01/08/2014,214,Melbourne Greeter Service,2014,August
01/07/2016,23364,City Ambassador Program,2016,July
01/06/2016,19944,City Ambassador Program,2016,June
01/04/2015,2176,Cruise Ship Program,2015,April
01/07/2018,15896,City Ambassador Program,2018,July
01/05/2018,80,Inbox email enquiries,2018,May
01/05/2015,219,Melbourne Greeter Service,2015,May
01/11/2017,20802,Fitzroy Gardens Visitor Centre,2017,November
01/10/2017,3822,Cruise Ship Program,2017,October
